pressure_mb,verticalWind_ms,AmbientTemperature_K
559.16,-0.02,311.66
559.01,0.00,311.64
558.87,0.01,311.62
558.72,0.03,311.61
558.57,0.04,311.59
558.43,0.06,311.57
558.28,0.08,311.56
558.14,0.09,311.54
557.99,0.11,311.52
557.85,0.12,311.51
557.70,0.14,311.49
557.56,0.15,311.47
557.41,0.17,311.46
557.27,0.19,311.44
557.12,0.20,311.42
556.97,0.22,311.41
556.83,0.23,311.39
556.68,0.25,311.37
556.54,0.27,311.36
556.39,0.28,311.34
556.25,0.30,311.33
556.10,0.31,311.31
555.95,0.33,311.29
555.81,0.34,311.27
555.66,0.36,311.26
555.51,0.38,311.24
555.37,0.39,311.23
555.22,0.41,311.21
555.08,0.42,311.19
554.93,0.44,311.18
554.79,0.45,311.16
554.64,0.47,311.14
554.50,0.49,311.13
554.35,0.50,311.11
554.20,0.52,311.09
554.06,0.53,311.08
553.91,0.55,311.06
553.77,0.57,311.04
553.62,0.58,311.03
553.48,0.60,311.01
553.33,0.61,310.99
553.19,0.63,310.98
553.04,0.64,310.96
555.68,0.66,311.25
556.44,0.41,311.27
556.69,0.37,311.30
556.94,0.34,311.32
557.45,0.36,311.47
559.96,0.47,311.76
562.35,0.36,311.98
562.85,-0.40,312.05
564.99,0.46,312.34
564.49,0.33,312.34
560.66,0.00,311.94
556.82,-0.34,311.54
557.32,-0.28,311.55
557.83,-0.23,311.57
558.33,-0.17,311.58
558.83,-0.11,311.60
559.34,-0.06,311.61
559.84,0.00,311.85
562.22,0.23,312.10
564.61,0.47,312.34
564.49,-0.33,312.20
564.36,0.35,312.34
561.47,-0.32,311.91
561.85,0.00,311.98
562.10,-0.34,311.98
563.86,0.44,312.20
563.65,0.45,312.18
563.44,0.45,312.16
563.23,0.46,312.14
563.02,0.46,312.12
562.81,0.47,312.10
562.60,0.47,312.07
562.39,0.48,312.05
562.18,0.48,312.03
561.97,0.49,312.01
561.76,0.49,311.99
561.55,0.50,311.97
561.34,0.50,311.95
561.13,0.51,311.93
560.92,0.51,311.91
560.71,0.52,311.89
560.50,0.53,311.87
560.29,0.53,311.85
560.08,0.54,311.82
559.87,0.54,311.80
559.66,0.55,311.78
559.45,0.55,311.76
559.24,0.56,311.74
559.03,0.56,311.72
558.82,0.57,311.70
558.61,0.57,311.68
558.40,0.58,311.66
558.19,0.58,311.64
557.98,0.59,311.62
557.77,0.60,311.60
557.56,0.60,311.57
557.35,0.61,311.55
557.14,0.61,311.53
556.93,0.62,311.51
556.72,0.62,311.49
556.50,0.63,311.47
556.29,0.63,311.45
556.08,0.64,311.43
555.87,0.64,311.41
555.66,0.65,311.39
555.45,0.65,311.37
555.24,0.66,311.35
555.03,0.66,311.32
554.82,0.67,311.30
554.61,0.68,311.28
554.40,0.68,311.26
554.19,0.69,311.24
553.98,0.69,311.22
553.77,0.70,311.20
553.56,0.70,311.18
553.35,0.71,311.16
553.13,0.71,311.14
552.92,0.72,311.12
552.71,0.72,311.09
552.50,0.73,311.07
552.29,0.73,311.05
552.08,0.74,311.03
551.87,0.75,311.01
551.66,0.75,310.99
551.45,0.76,310.97
551.24,0.76,310.95
551.03,0.77,310.93
550.82,0.77,310.91
550.61,0.78,310.89
550.40,0.78,310.87
550.19,0.79,310.84
549.98,0.79,310.82
549.77,0.80,310.80
549.56,0.80,310.78
549.35,0.81,310.76
549.14,0.81,310.74
548.76,0.82,310.45
549.39,0.86,310.50
547.94,0.61,310.54
546.49,0.36,310.59
544.09,1.08,310.08
546.61,0.59,310.30
548.63,0.82,310.45
549.38,0.94,310.81
550.01,0.96,310.74
549.89,0.90,310.67
548.38,0.62,310.56
546.86,0.33,310.45
547.97,0.28,310.54
549.09,0.22,310.63
550.20,0.17,310.71
551.31,0.11,310.80
552.43,0.05,310.89
553.54,0.00,311.03
554.61,0.00,311.18
555.68,0.00,311.32
555.68,0.68,311.40
556.56,-0.76,311.47
560.21,-0.86,311.76
561.09,0.00,311.83
558.32,0.33,311.76
557.94,0.56,311.54
558.29,0.54,311.58
558.64,0.52,311.62
558.99,0.51,311.66
559.33,0.49,311.69
559.68,0.47,311.73
560.03,0.45,311.77
560.38,0.43,311.81
560.73,0.42,311.85
561.08,0.40,311.89
561.42,0.38,311.92
561.77,0.36,311.96
562.12,0.34,312.00
562.47,0.33,312.04
562.82,0.31,312.08
563.17,0.29,312.12
563.51,0.27,312.15
563.86,0.25,312.19
564.21,0.24,312.23
564.56,0.22,312.27
564.91,0.20,312.31
565.26,0.18,312.35
565.61,0.16,312.39
565.95,0.15,312.42
566.30,0.13,312.46
566.65,0.11,312.50
567.00,0.09,312.54
567.35,0.07,312.58
567.70,0.06,312.62
568.04,0.04,312.65
568.39,0.02,312.69
568.74,0.00,312.73
569.09,-0.02,312.77
569.44,-0.03,312.81
569.79,-0.05,312.85
570.13,-0.07,312.88
570.48,-0.09,312.92
570.83,-0.11,312.96
571.18,-0.12,313.00
571.53,-0.14,313.04
571.88,-0.16,313.08
572.22,-0.18,313.11
572.57,-0.20,313.15
572.92,-0.21,313.19
573.27,-0.23,313.23
573.62,-0.25,313.27
573.97,-0.27,313.31
574.31,-0.29,313.35
574.66,-0.30,313.38
575.01,-0.32,313.42
575.37,-0.34,313.46
575.72,-0.36,313.50
576.07,-0.38,313.54
576.41,-0.40,313.58
576.76,-0.41,313.62
577.11,-0.43,313.65
577.46,-0.45,313.69
577.81,-0.47,313.73
578.16,-0.49,313.77
578.51,-0.50,313.81
578.85,-0.52,313.85
579.20,-0.54,313.88
579.55,-0.56,313.92
579.90,-0.58,313.96
580.25,-0.59,314.00
580.60,-0.61,314.04
580.95,-0.63,314.08
581.29,-0.65,314.11
581.64,-0.67,314.15
581.99,-0.68,314.19
582.34,-0.70,314.23
582.71,-0.72,314.23
582.21,-0.54,313.87
577.07,-0.88,313.50
571.93,-1.22,313.14
568.79,-0.46,312.78
567.03,-0.38,312.63
567.40,0.00,312.63
565.02,0.33,312.41
562.50,0.43,312.12
563.26,0.74,312.20
565.58,0.55,312.38
567.91,0.35,312.56
573.53,0.03,313.11
579.14,-0.29,313.66
584.77,-0.60,314.22
590.39,-0.92,314.77
596.01,-1.24,315.32
601.63,-1.56,314.98
592.18,-1.43,314.64
582.72,-1.29,314.30
582.72,-1.49,314.23
580.46,-0.76,314.08
574.06,-0.54,313.36
566.02,-0.35,312.63
563.01,-0.76,312.56
562.50,-0.44,312.34
562.43,-0.44,312.33
562.36,-0.44,312.33
562.30,-0.44,312.32
562.23,-0.43,312.31
562.16,-0.43,312.30
562.09,-0.43,312.30
562.02,-0.43,312.29
561.95,-0.43,312.28
561.89,-0.43,312.27
561.82,-0.43,312.27
561.75,-0.43,312.26
561.68,-0.42,312.25
561.61,-0.42,312.25
561.54,-0.42,312.24
561.48,-0.42,312.23
561.41,-0.42,312.22
561.34,-0.42,312.22
561.27,-0.42,312.21
561.20,-0.42,312.20
561.14,-0.41,312.19
561.07,-0.41,312.19
561.00,-0.41,312.18
560.93,-0.41,312.17
560.86,-0.41,312.17
560.79,-0.41,312.16
560.73,-0.41,312.15
560.66,-0.41,312.14
560.59,-0.40,312.14
560.52,-0.40,312.13
560.45,-0.40,312.12
560.38,-0.40,312.11
560.32,-0.40,312.11
560.25,-0.40,312.10
560.18,-0.40,312.09
560.11,-0.40,312.09
560.04,-0.39,312.08
559.98,-0.39,312.07
559.91,-0.39,312.06
559.84,-0.39,312.06
559.77,-0.39,312.05
559.70,-0.39,312.04
559.63,-0.39,312.03
559.57,-0.39,312.03
559.50,-0.38,312.02
559.43,-0.38,312.01
559.36,-0.38,312.01
559.29,-0.38,312.00
559.22,-0.38,311.99
559.16,-0.38,311.98
559.09,-0.38,311.98
559.02,-0.38,311.97
558.95,-0.37,311.96
558.88,-0.37,311.95
558.81,-0.37,311.95
558.74,-0.37,311.94
558.68,-0.37,311.93
558.61,-0.37,311.92
558.54,-0.37,311.92
558.47,-0.37,311.91
558.40,-0.36,311.90
558.33,-0.36,311.90
558.27,-0.36,311.89
558.20,-0.36,311.88
558.13,-0.36,311.87
558.06,-0.36,311.87
557.99,-0.36,311.86
557.92,-0.36,311.85
557.86,-0.35,311.84
557.79,-0.35,311.84
557.72,-0.35,311.83
556.96,-0.35,311.76
555.20,-0.34,311.59
554.70,-0.39,311.42
554.19,-0.44,311.25
553.06,-0.35,311.25
555.07,-0.52,311.18
557.33,-0.39,311.61
558.84,-0.33,311.76
559.10,-0.56,311.76
559.35,-0.72,311.76
558.91,-0.67,311.79
558.47,-0.61,311.83
559.60,-0.51,311.90
560.73,-0.41,311.98
561.86,-0.31,312.05
563.00,-0.20,312.13
564.13,-0.10,312.20
565.26,0.00,312.20
564.19,0.18,312.20
563.12,0.36,312.20
561.11,0.50,311.98
563.50,0.70,312.20
563.50,0.63,312.34
562.36,0.54,312.12
560.35,0.56,311.91
560.98,0.74,311.98
560.98,0.71,311.98
560.99,0.68,311.98
560.99,0.66,311.98
560.99,0.63,311.99
561.00,0.60,311.99
561.00,0.57,311.99
561.00,0.54,311.99
561.01,0.52,311.99
561.01,0.49,311.99
561.01,0.46,312.00
561.02,0.43,312.00
561.02,0.41,312.00
561.02,0.38,312.00
561.03,0.35,312.00
561.03,0.32,312.00
561.03,0.29,312.00
561.04,0.27,312.01
561.04,0.24,312.01
561.04,0.21,312.01
561.05,0.18,312.01
561.05,0.16,312.01
561.05,0.13,312.01
561.05,0.10,312.01
561.06,0.07,312.02
561.06,0.04,312.02
561.06,0.02,312.02
561.07,-0.01,312.02
561.07,-0.04,312.02
561.07,-0.07,312.02
561.08,-0.10,312.03
561.08,-0.12,312.03
561.08,-0.15,312.03
561.09,-0.18,312.03
561.09,-0.21,312.03
561.09,-0.24,312.03
561.10,-0.26,312.03
561.10,-0.29,312.04
561.10,-0.32,312.04
561.11,-0.35,312.04
561.11,-0.37,312.04
561.11,-0.40,312.04
561.12,-0.43,312.04
561.12,-0.46,312.05
561.12,-0.49,312.05
561.13,-0.51,312.05
561.13,-0.54,312.05
561.64,-0.57,312.34
563.27,-0.50,312.20
565.34,-0.76,312.42
567.41,-1.02,312.63
572.81,-1.20,313.07
574.19,-0.38,313.36
576.20,-0.33,313.50
575.99,-0.50,313.51
575.78,-0.68,313.53
575.58,-0.85,313.54
575.37,-1.02,313.55
575.16,-1.20,313.57
574.95,-1.37,313.58
573.94,-1.31,313.50
577.96,-1.37,313.79
579.97,-0.46,313.94
577.46,-0.46,313.79
572.81,0.00,313.29
573.00,-0.25,313.29
573.19,-0.50,313.29
575.45,-0.33,313.50
580.97,-0.46,314.08
586.36,-1.18,314.66
589.74,-0.74,315.03
591.37,-0.56,315.24
590.12,-0.80,315.05
587.86,-1.04,314.85
585.61,-1.27,314.66
585.49,-1.56,314.66
584.99,-1.98,314.45
586.24,-1.68,314.66
587.74,-1.66,315.03
589.62,-1.68,315.10
591.63,-1.45,315.05
589.68,-0.97,315.00
587.74,-0.49,314.95
585.99,-0.34,314.66
580.60,-0.66,314.23
580.60,-1.22,314.08
578.97,-0.41,313.94
577.21,-1.14,313.87
